scenario,w,h,nrobots,ntasks,algo,run,duration_s,steps,mean_util_frac,approx_remaining_tasks,csv_file,json_file
Shelf Density Test,12,10,4,6,fifo,20,0.01139,2,0.0,0,run_40020.csv,run_40020_summary.json
Shelf Density Test,12,10,4,6,fifo,21,0.00703,200,1.0,2,run_40021.csv,run_40021_summary.json
Shelf Density Test,12,10,4,6,fifo,22,0.00594,200,0.99875,1,run_40022.csv,run_40022_summary.json
Shelf Density Test,12,10,4,6,fifo,23,0.01003,200,0.75,0,run_40023.csv,run_40023_summary.json
Shelf Density Test,12,10,4,6,fifo,24,0.00558,200,1.0,2,run_40024.csv,run_40024_summary.json
Shelf Density Test,12,10,4,6,fifo,25,0.00639,200,1.0,2,run_40025.csv,run_40025_summary.json
Shelf Density Test,12,10,4,6,fifo,26,0.00538,200,1.0,2,run_40026.csv,run_40026_summary.json
Shelf Density Test,12,10,4,6,fifo,27,0.00513,200,1.0,2,run_40027.csv,run_40027_summary.json
Shelf Density Test,12,10,4,6,fifo,28,0.00663,2,0.0,0,run_40028.csv,run_40028_summary.json
Shelf Density Test,12,10,4,6,fifo,29,0.01292,200,1.0,2,run_40029.csv,run_40029_summary.json
